OTUs;Kingdom;Phylum;Class;Order;Family;Genus;A;B;C;D;E;F;G;H;I;J;K;L;M;N
98_16098;Bacteria;NA;NA;NA;NA;NA;0;0;2;0;0;0;0;0;0;0;0;0;0;0
98_2120;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;1;0;2;2;0;0;0;2;43;9;87;8
98_2130;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;0;0;0;0;0;0;0;0;0;0;1;1;0;0
98_21685;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;3;0;0;0;0;0;0;0;0;0;0;0
98_23942;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_26082;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Komagataeibacter;0;0;1;3;2;1;1;6;18;6;8;1;0;5
98_26884;Bacteria;NA;NA;NA;NA;NA;0;0;1;1;0;1;0;1;0;2;1;0;0;1
98_295;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira;0;0;3;1;2;2;1;10;1;22;8;8;8;12
98_3029;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0;0;1;0;0;0;0;0;0;1;0;0;0;0
98_3562;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum;0;0;0;0;0;6;0;1;0;0;0;0;0;1
98_36516;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;1;0;1;0;0;1;4;0;0;0;0;0
98_407;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;0;0;0;0;1;0;0;0;0;0;0;1;0;0
98_4330;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;0;0;0;0;4;2;7;6;7;10;7;6;0;1
98_4330;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;3;1;4;1;5;22;15;26;25;29;15;20
98_4960;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Phaeospirillum;0;0;1;0;0;0;0;0;2;4;1;0;0;1
98_525;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;1;0;6;1;7;10;14;11;58;16;33;10
98_54108;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;0;0;0;0;2;3;2;5;2;13;11;11;5;5
98_54108;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;0;0;0;0;2;1;1;3;4;1;3;1
98_5514;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;NA;0;0;1;0;1;0;0;0;0;0;0;0;0;0
98_5520;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Belnapia;0;0;0;1;1;0;1;0;2;2;3;1;3;0
98_5520;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;0;1;0;1;2;1;4;3;2;4;9;2
98_59032;Bacteria;NA;NA;NA;NA;NA;0;0;0;1;1;0;0;2;0;0;0;0;0;0
98_60115;Bacteria;NA;NA;NA;NA;NA;0;0;1;0;0;1;0;0;0;0;0;0;0;0
98_6330;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;NA;0;0;4;2;1;2;2;4;4;1;2;0;3;0
98_6596;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;NA;0;0;1;0;0;0;0;1;0;0;1;1;0;0
98_67536;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;0;0;0;1;1;1;1;0;0;0;0;0
98_68945;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;1;0;0;0;0;0;0;1;1;1;0;0
98_70419;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;0;0;0;0;0;0;3;1;0;3;3;1
98_85906;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;0;0;0;0;0;0;0;1;1;2;1;1;2;2
98_118973;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;0;0;0;1;0;1;0;3;4;4;1;5;2;2
98_118973;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;0;0;0;0;0;0;0;0;1;0;0;2
98_1200;Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;0;0;0;0;1;1;0;0;0;0;0;0;0;0
98_242;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Elizabethkingia;0;0;0;0;0;0;0;0;0;0;0;0;0;2
98_25556;Eukaryota;Kinetoplastida;Kinetoplastida;Kinetoplastida;NA;NA;0;0;0;1;1;0;0;0;0;1;0;1;0;0
98_2937;Eukaryota;Ascomycota;Sordariomycetes;Xylariales;Amphisphaeriaceae;Pestalosphaeria;0;0;0;0;0;0;1;0;0;1;0;0;0;0
98_2937;Eukaryota;Ascomycota;Sordariomycetes;Xylariales;Amphisphaeriaceae;NA;0;0;0;0;2;0;0;0;0;0;0;0;0;0
98_36330;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;0;0;0;0;0;0;0;3;0;0;2;0;0;2
98_3946;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;NA;0;0;0;1;0;2;4;7;16;13;20;7;7;10
98_557;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;0;0;0;0;0;0;0;0;0;0;0;2;0;0
98_6177;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;0;0;0;1;1;0;0;0;0;0;0;0;0;0
98_675;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;NA;NA;0;0;0;0;0;2;0;0;0;0;0;0;0;0
98_78135;Bacteria;NA;NA;NA;NA;NA;0;0;0;0;0;1;3;0;4;3;4;0;3;4
98_81433;Bacteria;NA;NA;NA;NA;NA;0;0;0;1;0;0;0;0;1;0;0;0;1;0
98_88498;Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;0;0;0;1;4;3;7;7;1;9;16;5;7;16
98_99;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;NA;0;0;0;3;0;0;0;0;0;0;0;0;0;0
98_108311;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_138331;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;NA;0;0;0;0;1;0;1;4;3;1;14;4;13;7
98_138331;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;NA;NA;0;0;0;0;0;0;0;3;0;0;2;1;0;1
98_1396;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;2;0;0;0;0;0;0;0;2;1
98_14476;Eukaryota;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;NA;0;0;0;0;2;0;0;0;0;0;0;0;0;0
98_163788;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;0;0;0;0;4;4;10;28;19;42;59;37;24;33
98_25079;Eukaryota;Ascomycota;NA;NA;NA;NA;0;0;0;0;2;0;0;0;0;0;0;0;0;0
98_29069;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;NA;0;0;0;0;0;0;0;0;0;0;2;2;5;0
98_4593;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassobaculum;0;0;0;0;2;0;0;1;1;0;2;1;1;0
98_5120;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;0;0;0;0;2;0;0;0;0;0;0;0;0;0
98_53468;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;0;0;0;0;1;0;2;0;0;0;0;0;0
98_55358;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;NA;0;0;0;0;5;2;0;0;0;0;61;18;116;8
98_5555;Eukaryota;Mucoromycota;Mucorales;Mucorales;NA;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;1
98_6372;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;1;0;3;0
98_64146;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;2;0;0;0;0;1;10;1;19;1
98_87867;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;2;0;2;1
98_96740;Bacteria;Proteobacteria;Alphaproteobacteria;CandidatusPuniceispirillum;NA;NA;0;0;0;0;3;2;3;2;8;6;5;3;8;2
98_189;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;0;1;10;0
98_367;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;0;0;0;0;0;1;0;2;0;2;0;0;0;0
98_5145;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;NA;0;0;0;0;0;1;0;2;0;1;0;0;0;1
98_591;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;0;0;0;0;0;1;0;0;0;0;1;0;0;0
98_593;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;1;1;1;0
98_6256;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;1;0;0;0;0;0;0;6;0
98_70451;Bacteria;NA;NA;NA;NA;NA;0;0;0;0;0;2;1;4;4;5;8;1;1;8
98_9041;Eukaryota;Dinophyceae;Dinophyceae;NA;NA;NA;0;0;0;0;0;1;0;0;0;0;0;2;0;0
98_92876;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter;0;0;0;0;0;0;1;0;0;4;0;1;0;5
98_92876;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;0;0;0;0;1;0;0;0;0;0;0;1
98_9405;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;0;0;0;0;0;0;0;1;1;0;0;0;0;0
98_1098;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;0;0;0;0;0;0;2;1;4;0;0;0;0;0
98_113052;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;0;0;0;0;0;0;2;1;2;0;0;0;0;0
98_114405;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;NA;0;0;0;0;0;0;1;1;0;0;0;0;0;0
98_1172;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;0;0;0;0;0;0;1;0;1;0;0;0;0;0
98_1185;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;0;0;0;0;0;0;0;2;0;0;0;0;0;0
98_1187;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;0;0;0;0;0;0;1;1;0;0;0;0;0;0
98_1240;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;0;0;0;0;0;0;4;1;0;0;0;0;0;0
98_1288;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;0;0;0;0;0;0;1;0;0;0;3;1;41;0
98_18288;Eukaryota;NA;NA;NA;NA;NA;0;0;0;0;0;0;5;0;0;0;0;0;0;0
98_2081;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;0;0;0;0;0;0;1;1;0;0;0;0;0;0
98_236;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;0;0;0;0;0;0;19;14;62;7;0;0;0;0
98_236;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;NA;0;0;0;0;0;0;1;0;1;0;0;0;0;0
98_23619;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;0;0;0;0;0;0;3;0;0;0;0;0;0;0
98_2483;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;0;0;0;0;0;0;1;1;1;0;0;1;0;0
98_25347;Eukaryota;Ascomycota;NA;NA;NA;NA;0;0;0;0;0;0;0;0;2;0;0;0;0;0
98_3026;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;0;0;0;0;0;0;11;6;2;1;0;0;0;0
98_3149;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Pleomorphomonas;0;0;0;0;0;0;2;1;4;0;0;0;0;0
98_32942;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;NA;0;0;0;0;0;0;1;0;1;0;0;0;0;0
98_3552;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;0;0;0;0;0;0;2;0;0;0;0;0;0;0
98_41391;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;0;0;0;0;0;0;0;0;1;1;0;0
98_4197;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;NA;0;0;0;0;0;0;3;1;4;2;0;0;0;0
98_4213;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;0;0;0;0;0;0;1;1;0;1;0;0;0;0
98_4425;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio;0;0;0;0;0;0;2;0;0;0;0;0;0;0
98_5373;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;0;0;0;0;0;0;1;0;1;0;0;0;1;0
98_5539;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;0;0;0;0;0;0;1;0;0;1;0;0;0;0
98_5731;Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;NA;0;0;0;0;0;0;0;1;0;2;0;0;0;0
98_61226;Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;0;0;0;0;0;0;1;0;1;0;0;0;0;0
98_627;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Martelella;0;0;0;0;0;0;7;1;10;4;0;0;0;0
98_6436;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis;0;0;0;0;0;0;1;0;5;1;0;0;0;0
98_83152;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia;0;0;0;0;0;0;0;0;2;0;0;0;0;1
98_86926;Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;NA;0;0;0;0;0;0;2;0;0;0;0;0;0;0
98_10535;Eukaryota;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;2;0;0;0;0;0;0
98_108740;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;NA;0;0;0;0;0;0;0;2;0;0;0;0;0;0
98_114182;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;0;0;0;0;0;0;0;1;0;1;1;0;0;0
98_1152;Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;0;0;0;0;0;0;0;1;1;0;0;0;0;0
98_126851;Bacteria;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;2;2;0;1;0;0;0
98_1272;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0;0;0;0;0;0;0;2;1;0;0;0;0;0
98_155789;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;0;0;0;0;0;1;1;0;0;0;0;0
98_15725;Eukaryota;Ascomycota;NA;NA;NA;NA;0;0;0;0;0;0;0;1;0;0;0;1;0;0
98_16943;Eukaryota;Oomycetes;Oomycetes;NA;NA;NA;0;0;0;0;0;0;0;2;0;0;0;0;0;0
98_18103;Eukaryota;Ascomycota;NA;NA;NA;NA;0;0;0;0;0;0;0;2;0;0;0;0;0;0
98_1919;Eukaryota;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;2;0;0;0;0;0;0
98_2750;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0;0;0;0;0;0;0;1;1;0;0;0;0;0
98_279;Eukaryota;Dinophyceae;Dinophyceae;NA;NA;NA;0;0;0;0;0;0;0;2;0;0;0;0;0;0
98_34658;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;0;0;0;0;0;0;0;1;1;0;0;0;0;0
98_3979;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;0;0;0;0;0;0;0;0;0;9;10;4;152;3
98_3979;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_3979;Bacteria;Firmicutes;Bacilli;Bacillales;NA;NA;0;0;0;0;0;0;0;2;0;1;0;1;6;0
98_4493;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;NA;0;0;0;0;0;0;0;0;2;0;0;0;0;0
98_524;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;0;0;0;0;0;0;0;1;1;1;0;0;0;0
98_5524;Eukaryota;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;1;1;0;0;0;0;0
98_6059;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;0;0;0;0;0;0;0;1;1;0;0;0;0;0
98_6351;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;0;0;0;0;0;0;0;2;0;0;0;0;0;0
98_731;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0;0;0;0;0;0;0;1;0;1;0;0;0;0
98_9532;Eukaryota;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;1;0;0;0;0;0;1
98_108926;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;0;0;0;0;0;0;0;0;2;0;0;0;0;0
98_117201;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;0;0;0;0;0;0;0;0;1;1;3;0;0;1
98_117201;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;NA;0;0;0;0;0;0;0;0;1;0;2;0;0;0
98_119046;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;0;0;0;0;0;0;0;0;2;0;0;0;0;0
98_144802;Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;NA;0;0;0;0;0;0;0;0;2;0;0;0;0;0
98_15345;Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;0;0;0;0;0;0;0;0;1;1;0;0;0;0
98_17343;Eukaryota;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;2;0;0;0;0;0
98_1785;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;0;0;0;0;0;0;0;0;2;0;0;0;0;0
98_2061;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0;0;0;0;0;0;0;0;1;1;0;0;0;0
98_22982;Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;2
98_24239;Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Metarhizium;0;0;0;0;0;0;0;0;2;0;0;0;0;0
98_3813;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;0;0;0;0;0;0;0;0;1;3;0;0;0;0
98_48470;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;0;0;0;0;0;0;0;0;2;0;0;0;0;0
98_5764;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;0;0;0;0;0;0;0;0;1;0;0;0;1;0
98_5764;Bacteria;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_6888;Eukaryota;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;3;0;0;0;0;0
98_68888;Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;0;0;0;0;0;0;0;0;2;0;0;0;0;0
98_81318;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;0;0;0;0;0;0;0;0;3;1;0;0;0;0
98_98505;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;0;0;0;0;0;0;0;0;2;0;0;0;0;0
98_107;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0;0;0;0;0;0;0;0;0;2;0;0;0;0
98_1376;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;CandidatusArthromitus;0;0;0;0;0;0;0;0;0;2;0;0;0;0
98_2762;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;0;0;0;0;0;0;0;0;0;0;0;0;14;0
98_3765;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;2;1;0;3;0
98_6544;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;0;0;0;0;0;0;0;0;0;0;0;0;4;0
98_895;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Aneurinibacillus;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_895;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_112696;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;0;0;3;0
98_1448;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;1;0;10;0
98_1449;Bacteria;Firmicutes;Bacilli;Lactobacillales;NA;NA;0;0;0;0;0;0;0;0;0;0;1;0;1;0
98_1449;Bacteria;Firmicutes;Bacilli;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_1449;Bacteria;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_1955;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;1;0;5;0
98_20161;Eukaryota;Mucoromycota;Mucorales;Mucorales;NA;NA;0;0;0;0;0;0;0;0;0;0;6;0;72;0
98_20161;Eukaryota;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;4;0
98_22482;Eukaryota;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;2;0;0;0
98_313;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;0;0;0;0;0;0;0;0;0;0;2;0;4;0
98_541;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;0;0;0;0;0;0;0;0;0;0;8;0;59;0
98_7410;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;0;0;22;12
98_839;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;1;0;1;0
98_848;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;0;0;0;0;0;0;0;0;0;0;1;0;2;0
98_2160;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;0;1;3;0
98_125;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;0;0;0;0;0;0;0;0;0;0;0;0;12;0
98_1476;Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_161198;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;0;0;0;0;0;0;0;0;0;0;0;0;3;0
98_16627;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_177;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;0;0;0;0;0;0;0;0;0;0;0;0;4;0
98_201;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_4999;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;0;0;8;2
98_5091;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_5189;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_5333;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;0;0;1;1
98_6020;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_62134;Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;[Bacillus]selenitireducens;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_6859;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_736;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_887;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;0;0;18;2
98_905;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus;0;0;0;0;0;0;0;0;0;0;0;0;3;0
98_68909;Bacteria;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;3
