OTUs;Kingdom;Phylum;Class;Order;Family;Genus;A;B;C;D;E;F;G;H;I;J;K;L;M;N
98_437;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;1;0;1;0;1;2;0;0;0;0;0;0;0;0
98_4429;Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;NA;39;21;16;8;14;15;1;8;4;5;0;2;0;2
98_4498;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora;1423;2186;2568;1161;1263;2271;536;936;884;984;481;504;44;318
98_451;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;8;12;1;9;4;15;0;1;0;10;2;1;0;2
98_451;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;7;10;2;8;4;10;0;0;0;3;1;0;0;1
98_4545;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;1;2;3;6;9;8;1;0;0;0;0;1;0;1
98_4613;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;37;23;72;70;127;129;396;479;210;512;804;441;435;539
98_46874;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;1;0;1;0;3;0;0;0;0;0;0;0;0
98_46874;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;0;1;2;0;0;5;0;1;0;0;0;0;0;0
98_4689;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;NA;0;1;0;1;2;0;0;0;0;0;0;0;0;0
98_476;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter;82;171;228;175;122;233;63;57;32;76;17;19;7;17
98_476;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;2;0;0;0;0;0;0;0;0;0;0;0;0
98_4766;Eukaryota;Ascomycota;Dothideomycetes;NA;NA;NA;8;0;3;4;3;1;1;1;2;1;0;2;0;8
98_4788;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Wigglesworthia;1;1;0;0;0;1;0;0;0;0;0;0;0;0
98_48;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;1;1;0;0;0;0;0;1;0;0;0;0;0;0
98_4817;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;25;34;13;25;11;30;2;15;1;18;1;9;0;10
98_4817;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;5;5;3;1;2;7;0;4;2;3;0;2;0;2
98_4817;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;2;1;2;2;1;2;0;1;0;2;0;1;0;3
98_4817;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;2;1;3;0;2;3;0;0;1;6;0;2;0;0
98_4822;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;NA;1;0;0;0;0;1;0;0;0;0;0;0;0;0
98_4833;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;2;3;0;1;0;0;0;0;0;0;0;0;0;0
98_4850;Eukaryota;Cryptophyta;Cryptophyta;Pyrenomonadales;NA;NA;0;0;0;1;0;0;0;0;0;0;1;0;0;0
98_4913;Eukaryota;NA;NA;NA;NA;NA;0;0;0;3;1;0;0;0;0;0;0;0;0;0
98_5001;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Frateuria;27;19;28;26;29;41;3;1;1;10;0;2;0;2
98_501;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae;Halothiobacillus;1;1;0;1;1;1;0;0;0;0;0;0;0;0
98_50760;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;0;0;0;0;0;0;2;0;0;0;0;0
98_51;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_51;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces;5;4;4;5;0;3;0;1;4;4;2;2;0;1
98_51;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;NA;8;8;10;9;4;7;2;3;1;4;0;4;0;1
98_515;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;32;41;24;33;19;52;1;2;3;12;0;1;0;5
98_517;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0;0;0;0;0;0;2;0;0;0;0;0;0;0
98_5174;Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Mychonastaceae;Mychonastes;21;9;12;8;11;6;1;1;0;5;2;1;0;1
98_522;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;4;5;4;5;4;3;1;0;0;3;0;0;0;0
98_522;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;NA;15;11;15;13;12;14;1;0;0;4;0;1;0;2
98_5283;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;NA;1;1;1;0;3;3;0;0;0;1;0;1;0;0
98_5287;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;0;0;1;2;0;2;0;0;0;0;0;0;0;0
98_53;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Vanderwaltozyma;3;4;5;2;2;7;3;3;2;2;3;3;0;1
98_53;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;NA;11;18;14;8;7;8;5;6;3;7;3;1;0;2
98_5349;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;[Candida]canberraensis;0;0;1;0;0;0;1;1;1;1;0;0;0;0
98_5349;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;NA;1;3;0;0;1;0;0;0;0;2;0;0;0;0
98_53593;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;3;11;2;3;1;11;1;0;0;5;0;4;0;2
98_53778;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;NA;16;14;15;16;15;15;0;0;0;3;2;1;1;0
98_5386;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;1;1;1;1;1;3;0;0;0;4;1;0;0;2
98_5392;Eukaryota;NA;NA;NA;NA;NA;1;1;0;0;0;0;0;0;0;0;0;0;0;1
98_5462;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera;51;91;35;72;27;126;3;19;0;20;1;15;0;4
98_5462;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;0;0;1;1;0;0;0;0;0;0;0;0;0
98_5488;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae;Halothiobacillus;0;0;1;1;5;0;0;0;0;0;0;0;0;0
98_5501;Eukaryota;Chlorophyta;Chlorophyceae;Carteria;Carteria;Carteria;2;1;1;0;0;0;0;0;0;0;0;0;0;0
98_5532;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;NA;5;0;0;0;3;0;0;1;0;0;0;0;0;0
98_5548;Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;NA;2;0;0;0;0;0;0;1;0;0;0;0;0;0
98_5557;Eukaryota;Basidiomycota;Agaricostilbomycetes;Agaricostilbales;Agaricostilbaceae;Sterigmatomyces;6;0;4;0;0;1;1;1;1;0;0;0;0;3
98_566;Eukaryota;NA;NA;NA;NA;NA;3;1;0;0;2;2;0;0;0;0;0;1;0;0
98_5676;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Saccharibacter;0;0;5;1;8;5;13;15;30;27;41;25;19;23
98_5784;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;2;0;0;0;0;0;0;0;0;0;0;1;0;0
98_58082;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;0;0;1;0;0;0;1;0;0;0;0;0;0
98_58082;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;2;4;2;5;1;3;0;1;0;0;0;0;0;1
98_5940;Eukaryota;Mucoromycota;Mucorales;Mucorales;Lichtheimiaceae;Lichtheimia;199;36;41;17;159;30;5;2;0;8;0;0;0;1
98_5940;Eukaryota;Mucoromycota;Mucorales;Mucorales;NA;NA;223;22;46;11;153;26;4;0;2;11;4;2;1;3
98_6029;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;211;313;102;157;106;264;5;48;13;112;8;32;2;19
